"","Tumor_1","Tumor_2","Tumor_3","Tumor_4","Tumor_5","Normal_1","Normal_2","Normal_3","Normal_4","Normal_5"
"ENSG00000000003.15",879,8917,2047,783,5469,3381,1741,4468,5070,4027
"ENSG00000000005.6",9,0,13,16,9,285,391,109,170,413
"ENSG00000000419.13",2623,2908,2155,2205,2153,1341,1089,1291,1770,1897
"ENSG00000000457.14",1727,4764,1855,371,985,993,486,1392,780,565
"ENSG00000000460.17",421,2010,749,374,1452,247,75,267,209,143
"ENSG00000000938.13",218,247,156,227,909,763,412,406,589,665
"ENSG00000000971.16",3828,1208,2433,839,2115,6823,4432,1241,8993,3617
"ENSG00000001036.14",4182,2072,2566,5980,2637,1251,999,907,2542,1973
"ENSG00000001084.13",2155,1804,1823,970,4408,2232,2404,1626,2053,1352
"ENSG00000001167.14",3156,5088,5819,969,8998,2284,633,2063,1948,1268
"ENSG00000001460.18",553,756,802,384,886,677,351,579,682,747
"ENSG00000001461.17",2305,2437,6440,989,2046,3573,705,3210,3981,2919
"ENSG00000001497.18",3700,4454,6075,4297,4699,2206,1311,2406,3105,3560
"ENSG00000001561.7",1797,1444,6007,567,2539,1292,1078,1408,1409,611
"ENSG00000001617.12",5798,7017,27012,12637,2677,2934,1116,2985,2929,3982
"ENSG00000001626.16",32,13,7,0,9,37,9,151,117,49
"ENSG00000001629.10",5221,7628,7757,1007,4700,3186,1647,3089,2739,1400
"ENSG00000001630.17",109,224,80,21,78,100,68,70,82,38
"ENSG00000001631.16",341,537,483,201,204,333,218,320,356,348
"ENSG00000002016.18",398,572,684,255,652,541,301,557,243,436
"ENSG00000002079.14",9,12,17,2,33,1,0,12,4,8
"ENSG00000002330.14",367,510,177,2363,278,303,298,333,547,1120
"ENSG00000002549.12",4077,8294,5148,8205,14929,4466,3609,3853,6802,5221
"ENSG00000002586.20",13797,7586,3169,21788,7831,6562,8302,3615,14373,13899
"ENSG00000002586.20_PAR_Y",0,0,0,0,0,0,0,0,0,0
"ENSG00000002587.10",269,569,149,200,721,125,138,631,480,636
"ENSG00000002726.21",1055,12,49,520,139,3,4,14,12,26
"ENSG00000002745.13",6,0,2,2,3,2,3,5,63,0
"ENSG00000002746.15",212,21,3,5,40,22,5,97,60,78
"ENSG00000002822.15",13,10,14,17,19,8,9,10,20,50
"ENSG00000002834.18",18532,27573,22859,12164,18352,10863,7429,10580,14758,10740
"ENSG00000002919.15",1064,1933,2886,1698,1787,1215,787,1207,1403,2085
"ENSG00000002933.9",4514,1208,26560,1203,3004,1499,530,1020,5286,4774
"ENSG00000003056.8",6060,3838,6365,1467,7931,3463,1611,3439,3563,2262
"ENSG00000003096.14",892,56,106,92,495,1397,131,3203,4144,2697
"ENSG00000003137.8",237,167,84,153,253,1363,4220,159,489,431
"ENSG00000003147.19",2001,3594,2675,2490,1455,1628,1043,1991,2161,1875
"ENSG00000003249.15",2748,7374,3328,1596,4171,377,36,1035,663,2025
"ENSG00000003393.15",1404,4859,2638,453,2720,1784,840,1513,1739,1165
"ENSG00000003400.15",424,1835,489,138,446,693,419,342,963,504
"ENSG00000003402.20",3604,9643,2021,936,9873,8723,6703,5465,6202,3860
"ENSG00000003436.16",2877,146,748,363,669,1807,2205,637,4550,2163
"ENSG00000003509.16",799,1333,971,517,758,434,475,550,576,555
"ENSG00000003756.17",2595,3934,4822,3119,3347,4883,2238,4198,3583,3915
"ENSG00000003987.14",106,415,130,383,30,87,33,79,78,69
"ENSG00000003989.18",47946,16288,19502,11614,434,2021,1280,2576,4267,3396
"ENSG00000004059.11",4896,6866,4174,7255,3552,2775,2113,3080,4572,8054
"ENSG00000004139.14",183,194,755,197,304,386,86,260,436,349
"ENSG00000004142.12",9050,9700,11441,12836,7515,3954,4732,4248,5903,7654
"ENSG00000004399.13",7585,11674,24572,10837,10039,7336,8187,3358,9428,8607
"ENSG00000004455.17",6506,7772,12920,6438,11411,5916,6070,5536,7186,6881
"ENSG00000004468.13",27,44,64,13,618,125,65,69,125,90
"ENSG00000004478.8",34386,9681,24418,25945,23982,8555,1891,8036,9483,8866
"ENSG00000004487.17",5853,6965,5302,6253,13431,4087,2170,4694,5904,5067
"ENSG00000004534.15",3320,4857,6355,4007,3791,6605,2784,4343,5084,4277
"ENSG00000004660.15",901,1427,313,965,1048,773,172,512,815,1022
"ENSG00000004700.16",2914,1648,2267,325,4635,1099,778,825,1186,385
"ENSG00000004766.17",1807,3863,3180,540,1074,1684,645,2608,2228,1247
"ENSG00000004776.13",38,23,24,147,43,1637,6673,153,1425,1413
"ENSG00000004777.18",198,1073,1085,908,469,473,136,426,349,702
"ENSG00000004779.10",4900,3910,2577,8679,2605,1509,1816,1498,1985,3136
"ENSG00000004799.8",1670,1209,3086,805,945,17422,101324,4391,38363,4605
"ENSG00000004809.14",7,0,1,3,357,0,5,1,4,6
"ENSG00000004838.14",223,725,799,1517,61,113,13,176,158,451
"ENSG00000004846.16",31,3,4,4,5,194,49,38,509,91
"ENSG00000004848.8",350,12,180,127,24,18,0,94,15,34
"ENSG00000004864.14",3717,2368,2224,980,1650,1050,536,1068,1142,1028
"ENSG00000004866.22",1222,2081,1031,838,973,835,602,932,1476,1210
"ENSG00000004897.12",5049,5730,6696,2221,6343,3387,2140,2541,3591,1940
"ENSG00000004939.15",3,0,7,2,2,7,7,2,11,2
"ENSG00000004948.16",44,10,25,2,13,42,1,39,87,121
"ENSG00000004961.15",1673,1809,3255,1323,903,869,646,863,954,1023
"ENSG00000004975.12",1319,2081,2872,2550,2917,1710,931,1933,2193,2621
"ENSG00000005001.10",1336,1901,231,3353,390,416,0,483,519,997
"ENSG00000005007.13",5684,13146,5909,4290,9955,6188,4417,6856,6104,7656
"ENSG00000005020.13",1784,572,797,760,1538,3447,1915,2030,4092,2016
"ENSG00000005022.6",16717,23898,21691,20277,20575,6854,7800,6168,11505,11490
